id,href,fullName,sortName,primaryNationality,secondaryNationality,tertiaryNationality,gender,photoUrl,photoCredit,notes,type,lastStatus,mtpage,mtedit,createdDate,modifiedAt,personId,typeOfDeath,status,employedAs,organizations,jobs,coverages,mediums,country,location,region,state,locality,province,localOrForeign,startYear,startDate,ambiguousStartDate,startDisplay,endYear,endDate,ambiguousEndDate,endDisplay,sourcesOfFire,motiveConfirmed,accountabilityCrossfire,crossfireAccountability,accountabilityAssignment,impunity,tortured,captive,threatened,reason,ableToReturn,ableToWork,charges,reasonExiled,motive,countryFled,internallyDisplaced,lengthOfSentence,healthProblems,impCountry,entry,body,locationImprisoned,dateModified,sentenceDate,sentence,year,cc_fips,cc_iso,tld,country_name,countryShort,region_long,region_short,regionShort,countryName,combinedStatus
33756,https://cpj.org/api/datamanager/persons/33756,Ram Singh Biling,,India,,,Male,,,,Journalist,,https://cpj.org/data/people/ram-singh-biling/index.php,https://cpj.org/cgi-bin/mt4/mt.cgi?__mode=view&_type=entry&blog_id=18&id=12259,,10:10.0,33756,Dangerous Assignment,Killed,Freelance,"Azdi Awaz, Daily Ajit",Print Reporter,"Corruption,Human Rights,Politics",Print,India,Jalandhar,,,Jalandhar,,Local,1992,1/3/92,,3-Jan-92,1992,1/3/92,,3-Jan-92,Government Officials,Confirmed,,,,,FALSE,TRUE,FALSE,,,,,,,,,,,,,"Biling, the Amargarh-based correspondent for two Punjab newspapers, <em>Azdi Awaz</em> and <em>Daily Ajit</em>, was picked up by police while traveling by bus to the town of Jalandhar. Although officials denied the arrest, Biling, who is also a human rights activist, was reportedly seen in custody by village elders. Police did not acknowledgehis detention, but it is believed that he died in custody.",,,,,1992,IN,IN,.in,India,india,Asia,asia,asia,India,Confirmed
33755,https://cpj.org/api/datamanager/persons/33755,Mustafa Jeha,,Lebanon,,,Male,,,,Journalist,,https://cpj.org/data/people/mustafa-jeha/index.php,https://cpj.org/cgi-bin/mt4/mt.cgi?__mode=view&_type=entry&blog_id=18&id=12261,,30:08.0,33755,Murder,Killed,Staff,Al-Amal,Columnist / Commentator,Politics,Print,Lebanon,East Beirut,,,East Beirut,,Local,1992,1/15/92,,15-Jan-92,1992,1/15/92,,15-Jan-92,Political Group,Confirmed,,,,Complete Impunity,FALSE,FALSE,FALSE,,,,,,,,,,,,,"Jeha, a writer and former contributor to <em>Al-Amal</em>, a Christian Phalangist paper, was killed by unidentified gunmen while driving his car in the East Beirut suburb of Sabatiyeh. The Shi'ite Muslim writer was an outspoken opponent of fundamentalism and had published works critical of the late Ayatollah Khomeini.",,,,,1992,LE,LB,.lb,Lebanon,lebanon,Middle East,mideast,mideast,Lebanon,Confirmed
33754,https://cpj.org/api/datamanager/persons/33754,Paul Jenks,,,,,Male,,,,Journalist,,https://cpj.org/data/people/paul-jenks/index.php,https://cpj.org/cgi-bin/mt4/mt.cgi?__mode=view&_type=entry&blog_id=18&id=12257,,10:10.0,33754,Crossfire,Killed,Freelance,European Pressphoto Agency,Photographer,War,Print,Croatia,near Osijek,,,near Osijek,,Foreign,1992,1/17/92,,17-Jan-92,1992,1/17/92,,17-Jan-92,Military Officials,Confirmed,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,"Jenks, a British photographer stringing for the Frankfurt-based European Pressphoto Agency, was shot and killed by sniper fire near Osijek in eastern Croatia.",,,,,1992,HR,HR,.hr,Croatia,croatia,Europe,europe,europe,Croatia,Confirmed
33753,https://cpj.org/api/datamanager/persons/33753,Halit Gungen,,Turkey,,,Male,,,,Journalist,,https://cpj.org/data/people/halit-gungen/index.php,https://cpj.org/cgi-bin/mt4/mt.cgi?__mode=view&_type=entry&blog_id=18&id=12277,,30:07.0,33753,Murder,Killed,Staff,2000'e Dogru,Editor,"Corruption,Human Rights,Politics",Print,Turkey,Diyarbakir,,,Diyarbakir,,Local,1992,2/9/92,,9-Feb-92,1992,2/9/92,,9-Feb-92,Government Officials,Confirmed,,,,Complete Impunity,FALSE,FALSE,FALSE,,,,,,,,,,,,,"Gungen, Diyarbakir bureau chief of the newsweekly <em>2000'e Dogru</em>, died soon after being shot in his office with a single bullet. Before his death, he had written an article alleging that members of the Islamic organization Hezbollah were being trained in the Diyarbakir headquarters of the Special Forces. Although the identity of his killers remains unknown, the circumstances implicate the state. A colleague of Gungen's, Ahmet Sumbuk, was briefly detained after the assassination.",,,,,1992,TU,TR,.tr,Turkey,turkey,Europe,europe,europe,Turkey,Confirmed
33752,https://cpj.org/api/datamanager/persons/33752,Cengiz Altun,,Turkey,,,Male,,,,Journalist,,https://cpj.org/data/people/cengiz-altun/index.php,https://cpj.org/cgi-bin/mt4/mt.cgi?__mode=view&_type=entry&blog_id=18&id=12278,,30:07.0,33752,Murder,Killed,Staff,Yeni Ulke,Print Reporter,"Corruption,Politics",Print,Turkey,Batman,,,Batman,,Local,1992,2/24/92,,24-Feb-92,1992,2/24/92,,24-Feb-92,Paramilitary Group,Confirmed,,,,Complete Impunity,FALSE,FALSE,TRUE,,,,,,,,,,,,,"Altun, a correspondent for the weekly newspaper <em>Yeni Ulke</em>, was shot five times in the back of the head while he was on his way to work in Batman. The newspaper's editor says that Altun received death threats before his murder. Colleagues suspect that his reporting on the counterguerrillas, state forces allegedly active in southeastern Turkey, may have prompted the attack. He had written an article on that subject for <em>Yeni Ulke</em>'s February 2-8 issue.",,,,,1992,TU,TR,.tr,Turkey,turkey,Europe,europe,europe,Turkey,Confirmed
33751,https://cpj.org/api/datamanager/persons/33751,Manuel de Dios Unanue,,USA,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Dios.US.1992.jpg,El Diario/La Prensa,,Journalist,,https://cpj.org/data/people/manuel-de-dios-unanue/index.php,https://cpj.org/cgi-bin/mt4/mt.cgi?__mode=view&_type=entry&blog_id=18&id=12286,,30:07.0,33751,Murder,Killed,Staff,El Diario/La Prensa,Editor,Crime,Print,USA,New York City,,,New York City,,Local,1992,3/11/92,,11-Mar-92,1992,3/11/92,,11-Mar-92,Criminal Group,Confirmed,,,,Partial Impunity,FALSE,FALSE,FALSE,,,,,,,,,,,,,"Cuban-American de Dios, the outspoken former editor of <em>El Diario/La Prensa</em> and the founder of weekly magazine <em>Cambio XXI</em> and monthly magazine <em>Crimen</em> (Crime), was shot in the head in a New York City restaurant. Police believe that more than a dozen drug traffickers and businessmen plotted to murder de Dios in retaliation for hard-hitting stories he had written about their drug and money laundering operations. Daily death threats were telephoned into the offices of <em>El Diario/La Prensa</em> after the journalist's murder.",,,,,1992,US,US,.us,USA,usa,Americas,americas,americas,USA,Confirmed
33750,https://cpj.org/api/datamanager/persons/33750,Izzet Kezer,,Turkey,,,Male,,,,Journalist,,https://cpj.org/data/people/izzet-kezer/index.php,https://cpj.org/cgi-bin/mt4/mt.cgi?__mode=view&_type=entry&blog_id=18&id=12279,,10:10.0,33750,Dangerous Assignment,Killed,Staff,Sabah,Print Reporter,War,Print,Turkey,Cizre,,,Cizre,,Local,1992,3/23/92,,23-Mar-92,1992,3/23/92,,23-Mar-92,Military Officials,Confirmed,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,"Kezer, an Ankara-based journalist from the Istanbul daily <em>Sabah</em>, was killed when he was hit in the head by gunfire during Security Force operations in Cizre. Although the Interior Ministry issued a statement to CPJ blaming the Kurdish Workers' Party, or PKK, for Kezer's death, eyewitnesses say that Security Forces were the only possible source of the fire that killed him because there were no PKK guerrillas or clashes in the area at the time.",,,,,1992,TU,TR,.tr,Turkey,turkey,Europe,europe,europe,Turkey,Confirmed
33749,https://cpj.org/api/datamanager/persons/33749,Kjasif Smajlovic,,Bosnia,,,Male,,,,Journalist,,https://cpj.org/data/people/kjasif-smajlovic/index.php,https://cpj.org/cgi-bin/mt4/mt.cgi?__mode=view&_type=entry&blog_id=18&id=12248,,30:06.0,33749,Murder,Killed,Staff,Oslobodjenje,Print Reporter,War,Print,Bosnia,Zvornik,,,Zvornik,,Local,1992,4/9/92,,9-Apr-92,1992,4/9/92,,9-Apr-92,Paramilitary Group,Confirmed,,,,Complete Impunity,FALSE,FALSE,FALSE,,,,,,,,,,,,,"Smajlovic, the Zvornik correspondent for the Sarajevo-based daily <em>Oslobodjenje</em>, was killed in his office by Serbian soldiers, the newspaper said.",,,,,1992,BK,BA,.ba,Bosnia,bosnia,Europe,europe,europe,Bosnia,Confirmed
33748,https://cpj.org/api/datamanager/persons/33748,Kruno Marinovic,,Bosnia,,,Male,,,,Journalist,,https://cpj.org/data/people/kruno-marinovic/index.php,https://cpj.org/cgi-bin/mt4/mt.cgi?__mode=view&_type=entry&blog_id=18&id=12249,,30:06.0,33748,Murder,Killed,Staff,Croatian State Radio,Broadcast Reporter,War,Radio,Bosnia,Foca,,,Foca,,Local,1992,4/14/92,,14-Apr-92,1992,4/14/92,,14-Apr-92,Military Officials,Confirmed,,,,Complete Impunity,FALSE,TRUE,FALSE,,,,,,,,,,,,,"Marinovic, a journalist for Croatian State Radio, disappeared from his home in Foca, Bosnia-Herzegovina, and is presumed dead. Some sources said he might have been abducted by the Yugoslav Army or armed Serb fighters.",,,,,1992,BK,BA,.ba,Bosnia,bosnia,Europe,europe,europe,Bosnia,Confirmed
33747,https://cpj.org/api/datamanager/persons/33747,Per-Ove Carlsson,,,,,Male,,,,Journalist,,https://cpj.org/data/people/per-ove-carlsson/index.php,https://cpj.org/cgi-bin/mt4/mt.cgi?__mode=view&_type=entry&blog_id=18&id=12263,,30:06.0,33747,Murder,Killed,Freelance,Freelancer,Producer,"Politics,War",Television,Papua New Guinea,Kiunga,,,Kiunga,,Foreign,1992,4/29/92,,29-Apr-92,1992,4/29/92,,29-Apr-92,Political Group,Confirmed,,,,Complete Impunity,FALSE,FALSE,FALSE,,,,,,,,,,,,,"Carlsson, a Swedish documentary filmmaker and freelance journalist, was found with his throat slit in the town of Kiunga, near the border with the disputed Indonesian province of Irian Jaya, also known as West Papua. He had traveled to the region to make a film about the guerrilla organization Free Papua Movement, which is fighting for Irian Jaya's independence from Indonesian rule.<br />
 <br />
 ""While the official version proclaimed that he had cut his throat with his own knife,"" wrote reporter Oswald Iten in the well-regarded Swiss newspaper <em>Neue Zürcher Zeitung</em> nearly two years after the incident, ""it was widely believed to be a case of Indonesian-financed assassination.""",,,,,1992,PP,PG,.pg,Papua New Guinea,papua-new-guinea,Asia,asia,asia,Papua New Guinea,Confirmed
